sale_id,date,product_code,quantity,unit_price,discount_pct,discount_value,total,payment_type,seller_name
1,2024-01-01,P005,2,180,2.91,10.48,349.52,dinheiro,Ana
2,2024-01-01,P003,1,250,8.43,21.07,228.93,pix,Bruno
3,2024-01-01,P002,3,50,0.79,1.19,148.81,cartao_credito,Ana
4,2024-01-01,P003,2,250,3.19,15.95,484.05,pix,Bruno
5,2024-01-01,P005,2,180,8.97,32.29,327.71,cartao_credito,Bruno
6,2024-01-01,P001,1,3500,5.17,180.95,3319.05,dinheiro,Carla
7,2024-01-01,P001,1,3500,4.32,151.2,3348.8,dinheiro,Ana
8,2024-01-01,P005,1,180,1.35,2.43,177.57,pix,Diego
9,2024-01-01,P001,2,3500,7.31,511.7,6488.3,dinheiro,Carla
10,2024-01-01,P003,3,250,9.64,72.3,677.7,dinheiro,Diego
11,2024-01-02,P003,1,250,8.79,21.97,228.03,cartao_credito,Carla
12,2024-01-02,P004,2,900,2.71,48.78,1751.22,pix,Bruno
13,2024-01-02,P001,3,3500,9.87,1036.35,9463.65,cartao_credito,Ana
14,2024-01-02,P001,2,3500,2.27,158.9,6841.1,cartao_credito,Diego
15,2024-01-02,P001,2,3500,0.17,11.9,6988.1,dinheiro,Bruno
16,2024-01-02,P005,1,180,0.04,0.07,179.93,dinheiro,Bruno
17,2024-01-02,P002,1,50,7.81,3.91,46.09,dinheiro,Carla
18,2024-01-03,P005,2,180,10.12,36.43,323.57,cartao_credito,Bruno
19,2024-01-03,P002,1,50,5.89,2.94,47.05,cartao_credito,Carla
20,2024-01-03,P003,2,250,2.99,14.95,485.05,pix,Diego
21,2024-01-03,P003,3,250,5.57,41.77,708.23,pix,Diego
22,2024-01-03,P001,3,3500,9.83,1032.15,9467.85,dinheiro,Carla
23,2024-01-03,P002,1,50,6.21,3.1,46.9,pix,Carla
24,2024-01-03,P002,1,50,0.29,0.14,49.85,dinheiro,Carla
25,2024-01-03,P005,1,180,1.29,2.32,177.68,dinheiro,Carla
26,2024-01-03,P002,2,50,0.74,0.74,99.26,dinheiro,Bruno
27,2024-01-04,P004,1,900,4.96,44.64,855.36,dinheiro,Ana
28,2024-01-04,P003,3,250,5.34,40.05,709.95,dinheiro,Ana
29,2024-01-05,P001,2,3500,11.36,795.2,6204.8,cartao_credito,Diego
30,2024-01-05,P001,2,3500,2.88,201.6,6798.4,pix,Diego
31,2024-01-05,P005,2,180,1.11,4.0,356.0,cartao_credito,Ana
32,2024-01-05,P001,3,3500,4.07,427.35,10072.65,pix,Ana
33,2024-01-06,P001,2,3500,0.41,28.7,6971.3,cartao_credito,Bruno
34,2024-01-06,P003,1,250,5.19,12.97,237.03,cartao_credito,Ana
35,2024-01-07,P005,3,180,6.42,34.67,505.33,dinheiro,Carla
36,2024-01-07,P004,2,900,5.51,99.18,1700.82,cartao_credito,Carla
37,2024-01-07,P005,2,180,2.96,10.66,349.34,pix,Carla
38,2024-01-07,P005,1,180,1.08,1.94,178.06,dinheiro,Ana
39,2024-01-07,P005,3,180,2.32,12.53,527.47,dinheiro,Diego
40,2024-01-07,P002,3,50,2.25,3.38,146.62,cartao_credito,Bruno
41,2024-01-07,P003,1,250,3.69,9.23,240.78,dinheiro,Diego
42,2024-01-07,P002,1,50,14.49,7.25,42.76,cartao_credito,Ana
43,2024-01-07,P001,2,3500,13.75,962.5,6037.5,cartao_credito,Carla
44,2024-01-07,P002,1,50,3.9,1.95,48.05,dinheiro,Ana
45,2024-01-08,P003,1,250,6.28,15.7,234.3,pix,Ana
46,2024-01-08,P005,2,180,6.72,24.19,335.81,pix,Bruno
47,2024-01-08,P003,3,250,4.48,33.6,716.4,pix,Diego
48,2024-01-08,P001,1,3500,3.05,106.75,3393.25,dinheiro,Bruno
49,2024-01-08,P001,3,3500,9.61,1009.05,9490.95,dinheiro,Ana
50,2024-01-08,P004,2,900,10.21,183.78,1616.22,cartao_credito,Carla
51,2024-01-09,P001,2,3500,6.25,437.5,6562.5,dinheiro,Ana
52,2024-01-09,P002,1,50,3.78,1.89,48.11,pix,Bruno
53,2024-01-09,P001,3,3500,10.83,1137.15,9362.85,cartao_credito,Diego
54,2024-01-09,P003,2,250,3.5,17.5,482.5,pix,Ana
55,2024-01-09,P001,2,3500,13.22,925.4,6074.6,cartao_credito,Bruno
56,2024-01-10,P004,3,900,12.11,326.97,2373.03,cartao_credito,Carla
57,2024-01-10,P003,1,250,5.73,14.33,235.68,dinheiro,Bruno
58,2024-01-10,P002,1,50,2.04,1.02,48.98,pix,Bruno
59,2024-01-10,P005,3,180,2.18,11.77,528.23,dinheiro,Ana
60,2024-01-10,P005,1,180,6.3,11.34,168.66,pix,Carla
61,2024-01-10,P002,1,50,0.1,0.05,49.95,dinheiro,Ana
62,2024-01-10,P003,1,250,1.58,3.95,246.05,dinheiro,Bruno
63,2024-01-10,P002,3,50,10.05,15.08,134.93,cartao_credito,Ana
64,2024-01-10,P003,1,250,8.24,20.6,229.4,dinheiro,Diego
65,2024-01-10,P004,1,900,0.37,3.33,896.67,pix,Diego
66,2024-01-10,P005,1,180,9.88,17.78,162.22,dinheiro,Carla
67,2024-01-11,P003,2,250,2.5,12.5,487.5,pix,Ana
68,2024-01-11,P002,3,50,12.73,19.09,130.91,cartao_credito,Ana
69,2024-01-11,P001,2,3500,7.93,555.1,6444.9,cartao_credito,Diego
70,2024-01-11,P001,2,3500,0.6,42.0,6958.0,dinheiro,Bruno
71,2024-01-11,P002,1,50,8.37,4.18,45.81,cartao_credito,Bruno
72,2024-01-11,P005,2,180,0.56,2.02,357.98,dinheiro,Carla
73,2024-01-11,P005,3,180,4.27,23.06,516.94,pix,Carla
74,2024-01-12,P005,1,180,5.21,9.38,170.62,pix,Bruno
75,2024-01-12,P003,1,250,2.99,7.48,242.53,dinheiro,Ana
76,2024-01-12,P004,3,900,6.78,183.06,2516.94,dinheiro,Diego
77,2024-01-12,P004,2,900,5.76,103.68,1696.32,dinheiro,Diego
78,2024-01-12,P003,3,250,8.59,64.42,685.58,dinheiro,Carla
79,2024-01-12,P002,1,50,6.21,3.1,46.9,dinheiro,Carla
80,2024-01-12,P001,1,3500,9.36,327.6,3172.4,dinheiro,Diego
81,2024-01-12,P005,1,180,10.6,19.08,160.92,cartao_credito,Ana
82,2024-01-12,P004,2,900,7.67,138.06,1661.94,pix,Ana
83,2024-01-13,P003,3,250,5.04,37.8,712.2,dinheiro,Bruno
84,2024-01-13,P004,1,900,8.77,78.93,821.07,pix,Diego
85,2024-01-13,P003,2,250,8.26,41.3,458.7,pix,Diego
86,2024-01-13,P004,3,900,5.9,159.3,2540.7,pix,Diego
87,2024-01-13,P004,3,900,9.89,267.03,2432.97,dinheiro,Carla
88,2024-01-13,P004,3,900,2.75,74.25,2625.75,pix,Bruno
89,2024-01-14,P001,3,3500,2.67,280.35,10219.65,cartao_credito,Diego
90,2024-01-14,P005,3,180,6.0,32.4,507.6,pix,Ana
91,2024-01-14,P001,1,3500,5.17,180.95,3319.05,pix,Bruno
92,2024-01-15,P002,3,50,2.84,4.26,145.74,dinheiro,Diego
93,2024-01-15,P001,3,3500,9.7,1018.5,9481.5,cartao_credito,Diego
94,2024-01-15,P004,3,900,6.61,178.47,2521.53,dinheiro,Diego
95,2024-01-15,P003,3,250,3.3,24.75,725.25,dinheiro,Ana
96,2024-01-15,P001,1,3500,7.1,248.5,3251.5,dinheiro,Bruno
97,2024-01-15,P004,3,900,1.39,37.53,2662.47,dinheiro,Ana
98,2024-01-16,P002,2,50,3.79,3.79,96.21,dinheiro,Ana
99,2024-01-16,P001,3,3500,4.73,496.65,10003.35,cartao_credito,Bruno
100,2024-01-16,P004,2,900,9.67,174.06,1625.94,pix,Carla
101,2024-01-16,P001,1,3500,9.89,346.15,3153.85,dinheiro,Bruno
102,2024-01-16,P002,3,50,0.08,0.12,149.88,cartao_credito,Ana
103,2024-01-16,P002,2,50,9.76,9.76,90.24,pix,Bruno
104,2024-01-16,P004,2,900,2.21,39.78,1760.22,dinheiro,Bruno
105,2024-01-16,P003,1,250,0.57,1.42,248.57,cartao_credito,Diego
106,2024-01-16,P002,2,50,1.79,1.79,98.21,pix,Diego
107,2024-01-17,P003,2,250,8.38,41.9,458.1,pix,Ana
108,2024-01-17,P003,2,250,5.42,27.1,472.9,cartao_credito,Bruno
109,2024-01-17,P003,2,250,6.3,31.5,468.5,dinheiro,Bruno
110,2024-01-17,P002,2,50,1.29,1.29,98.71,cartao_credito,Ana
111,2024-01-18,P002,1,50,4.27,2.13,47.87,pix,Carla
112,2024-01-18,P004,3,900,2.98,80.46,2619.54,dinheiro,Ana
113,2024-01-18,P004,1,900,3.01,27.09,872.91,pix,Bruno
114,2024-01-19,P001,2,3500,9.03,632.1,6367.9,pix,Diego
115,2024-01-19,P003,3,250,2.11,15.82,734.17,cartao_credito,Bruno
116,2024-01-19,P001,1,3500,0.37,12.95,3487.05,pix,Bruno
117,2024-01-19,P003,2,250,8.44,42.2,457.8,dinheiro,Bruno
118,2024-01-19,P003,1,250,7.66,19.15,230.85,cartao_credito,Carla
119,2024-01-19,P004,2,900,8.65,155.7,1644.3,cartao_credito,Bruno
120,2024-01-19,P002,3,50,8.87,13.3,136.69,cartao_credito,Bruno
121,2024-01-19,P005,3,180,4.04,21.82,518.18,dinheiro,Ana
122,2024-01-19,P004,1,900,0.92,8.28,891.72,pix,Carla
123,2024-01-20,P001,2,3500,7.53,527.1,6472.9,dinheiro,Ana
124,2024-01-20,P004,2,900,8.24,148.32,1651.68,dinheiro,Diego
125,2024-01-20,P005,3,180,6.58,35.53,504.47,dinheiro,Carla
126,2024-01-20,P001,1,3500,2.36,82.6,3417.4,dinheiro,Carla
127,2024-01-20,P005,3,180,2.59,13.99,526.01,pix,Diego
128,2024-01-20,P003,1,250,5.98,14.95,235.05,dinheiro,Ana
129,2024-01-20,P003,1,250,1.27,3.17,246.82,cartao_credito,Ana
130,2024-01-20,P003,2,250,0.79,3.95,496.05,dinheiro,Diego
131,2024-01-20,P003,2,250,5.69,28.45,471.55,pix,Carla
132,2024-01-20,P005,3,180,3.1,16.74,523.26,cartao_credito,Ana
133,2024-01-20,P002,2,50,0.77,0.77,99.23,dinheiro,Diego
134,2024-01-21,P001,1,3500,8.68,303.8,3196.2,dinheiro,Bruno
135,2024-01-21,P002,3,50,4.65,6.98,143.03,pix,Ana
136,2024-01-21,P001,1,3500,12.83,449.05,3050.95,cartao_credito,Carla
137,2024-01-21,P005,2,180,2.52,9.07,350.93,pix,Ana
138,2024-01-21,P005,3,180,2.47,13.34,526.66,dinheiro,Diego
139,2024-01-22,P005,1,180,4.98,8.96,171.04,cartao_credito,Diego
140,2024-01-22,P001,1,3500,9.82,343.7,3156.3,cartao_credito,Diego
141,2024-01-22,P002,1,50,6.62,3.31,46.69,dinheiro,Ana
142,2024-01-23,P005,1,180,8.19,14.74,165.26,pix,Diego
143,2024-01-23,P002,3,50,9.88,14.82,135.18,pix,Ana
144,2024-01-23,P005,2,180,4.68,16.85,343.15,cartao_credito,Ana
145,2024-01-23,P004,3,900,2.71,73.17,2626.83,cartao_credito,Ana
146,2024-01-24,P002,3,50,10.66,15.99,134.01,cartao_credito,Bruno
147,2024-01-24,P004,3,900,3.46,93.42,2606.58,dinheiro,Ana
148,2024-01-24,P002,2,50,5.34,5.34,94.66,dinheiro,Diego
149,2024-01-24,P002,1,50,7.08,3.54,46.46,dinheiro,Carla
150,2024-01-24,P004,2,900,10.96,197.28,1602.72,cartao_credito,Diego
151,2024-01-24,P004,3,900,1.9,51.3,2648.7,cartao_credito,Diego
152,2024-01-24,P002,2,50,11.05,11.05,88.95,cartao_credito,Ana
153,2024-01-24,P001,2,3500,7.24,506.8,6493.2,dinheiro,Bruno
154,2024-01-24,P003,3,250,7.76,58.2,691.8,cartao_credito,Ana
155,2024-01-24,P001,2,3500,2.6,182.0,6818.0,pix,Ana
156,2024-01-24,P005,2,180,9.84,35.42,324.58,pix,Carla
157,2024-01-25,P004,3,900,8.31,224.37,2475.63,cartao_credito,Ana
158,2024-01-25,P003,2,250,3.75,18.75,481.25,dinheiro,Ana
159,2024-01-25,P005,3,180,8.94,48.28,491.72,pix,Bruno
160,2024-01-25,P002,2,50,2.79,2.79,97.21,pix,Carla
161,2024-01-25,P001,1,3500,1.27,44.45,3455.55,pix,Diego
162,2024-01-25,P002,2,50,4.86,4.86,95.14,dinheiro,Carla
163,2024-01-25,P003,2,250,9.5,47.5,452.5,pix,Ana
164,2024-01-25,P002,3,50,0.93,1.4,148.6,dinheiro,Carla
165,2024-01-26,P002,3,50,12.99,19.49,130.51,cartao_credito,Diego
166,2024-01-26,P002,3,50,14.34,21.51,128.49,cartao_credito,Diego
167,2024-01-26,P004,3,900,11.71,316.17,2383.83,cartao_credito,Bruno
168,2024-01-26,P003,2,250,7.94,39.7,460.3,dinheiro,Carla
169,2024-01-26,P002,3,50,2.14,3.21,146.79,cartao_credito,Carla
170,2024-01-27,P002,2,50,6.97,6.97,93.03,cartao_credito,Carla
171,2024-01-27,P004,2,900,5.25,94.5,1705.5,cartao_credito,Ana
172,2024-01-27,P003,3,250,3.79,28.43,721.58,cartao_credito,Bruno
173,2024-01-27,P003,1,250,5.69,14.23,235.78,cartao_credito,Carla
174,2024-01-27,P002,2,50,0.37,0.37,99.63,dinheiro,Diego
175,2024-01-27,P002,2,50,4.15,4.15,95.85,pix,Diego
176,2024-01-27,P001,2,3500,7.79,545.3,6454.7,dinheiro,Bruno
177,2024-01-27,P005,3,180,7.64,41.26,498.74,dinheiro,Ana
178,2024-01-27,P003,1,250,1.43,3.58,246.43,dinheiro,Diego
179,2024-01-28,P004,1,900,5.84,52.56,847.44,pix,Carla
180,2024-01-28,P005,1,180,3.39,6.1,173.9,dinheiro,Ana
181,2024-01-28,P004,3,900,9.31,251.37,2448.63,dinheiro,Carla
182,2024-01-28,P002,1,50,1.34,0.67,49.33,cartao_credito,Bruno
183,2024-01-28,P003,1,250,3.94,9.85,240.15,pix,Ana
184,2024-01-28,P004,1,900,1.58,14.22,885.78,cartao_credito,Bruno
185,2024-01-28,P003,1,250,1.56,3.9,246.1,cartao_credito,Carla
186,2024-01-29,P004,2,900,8.72,156.96,1643.04,dinheiro,Diego
187,2024-01-29,P001,3,3500,6.26,657.3,9842.7,cartao_credito,Bruno
188,2024-01-29,P005,3,180,0.78,4.21,535.79,dinheiro,Bruno
189,2024-01-29,P002,1,50,7.96,3.98,46.02,cartao_credito,Carla
190,2024-01-30,P004,1,900,2.42,21.78,878.22,pix,Bruno
191,2024-01-30,P002,2,50,0.28,0.28,99.72,pix,Carla
192,2024-01-30,P002,2,50,3.65,3.65,96.35,pix,Carla
193,2024-01-30,P004,3,900,2.94,79.38,2620.62,dinheiro,Carla
194,2024-01-30,P002,1,50,5.75,2.88,47.12,dinheiro,Carla
195,2024-01-30,P001,3,3500,2.05,215.25,10284.75,pix,Bruno
196,2024-01-30,P004,3,900,3.02,81.54,2618.46,dinheiro,Diego
197,2024-01-30,P004,2,900,1.93,34.74,1765.26,dinheiro,Diego
198,2024-01-30,P003,3,250,2.87,21.52,728.48,dinheiro,Diego
199,2024-01-31,P004,1,900,6.83,61.47,838.53,pix,Ana
200,2024-01-31,P002,1,50,0.38,0.19,49.81,pix,Diego
201,2024-01-31,P002,3,50,3.58,5.37,144.63,dinheiro,Carla
202,2024-01-31,P003,1,250,12.48,31.2,218.8,cartao_credito,Ana
